"Table with row headers in column A and column headers in rows 4, 5 and 6. ",,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16. State Resident Population by Age and Sex: 2010,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2000, 2010 as of April; 2005, 2008 and 2009 as of July. In thousands, except as indicated (76,094 represents 76,094,000). Includes Armed Forces stationed in area. ANSI=American National Standards Institute]",,,,,,,,,,,,,,,,,,,,,,,,,,
State,"2010, April",,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age,Under 18 years old,18 years and over,65 years and over,,,Percent under 18 years old,Percent 65 years old and over
,,,,,,,,,,,,,,,,,,,,,,Total,Male,Female,,
Minnesota ,"5,304","2,632","2,672",356,356,352,368,356,503,716,681,808,629,350,280,354,222,107,37.4,"1,284","4,020",683,298,385,24.2,12.9
Mississippi ,"2,967","1,441","1,526",211,206,208,225,211,305,387,375,417,347,187,161,214,122,44,36.0,756,"2,212",380,160,221,25.5,12.8
Missouri ,"5,989","2,933","3,055",390,390,397,424,413,589,775,749,889,723,390,333,450,274,114,37.9,"1,425","4,563",838,361,478,23.8,14.0
Montana ,989,497,493,62,61,61,67,67,95,123,113,150,139,76,63,81,46,20,39.8,224,766,147,68,79,22.6,14.8
Nebraska ,"1,826",906,920,132,129,123,129,129,183,245,221,259,213,118,95,123,84,39,36.2,459,"1,367",247,106,140,25.1,13.5
Nevada ,"2,701","1,364","1,337",187,183,183,183,178,249,387,383,377,315,165,151,198,96,30,36.3,665,"2,036",324,153,171,24.6,12.0
New Hampshire ,"1,316",649,667,70,78,85,94,85,123,144,179,226,178,96,82,97,57,25,41.1,287,"1,029",178,79,99,21.8,13.5
New Jersey ,"8,792","4,280","4,512",541,565,587,598,541,767,"1,110","1,238","1,379","1,046",566,481,611,395,180,39.0,"2,065","6,727","1,186",493,693,23.5,13.5
New Mexico ,"2,059","1,017","1,042",145,143,142,150,142,204,267,249,292,257,137,120,154,86,32,36.7,519,"1,541",272,123,150,25.2,13.2
New York ,"19,378","9,377","10,001","1,156","1,164","1,211","1,366","1,411","1,984","2,659","2,610","2,879","2,304","1,237","1,066","1,361",866,391,38.0,"4,325","15,053","2,618","1,085","1,533",22.3,13.5
North Carolina ,"9,535","4,645","4,890",632,636,631,660,662,939,"1,247","1,327","1,369","1,139",601,538,698,389,147,37.4,"2,282","7,254","1,234",524,710,23.9,12.9
North Dakota ,673,340,333,45,40,40,47,59,81,90,75,97,82,46,36,47,34,17,37.0,150,523,97,42,55,22.3,14.5
Ohio ,"11,537","5,632","5,904",721,748,775,824,763,"1,099","1,410","1,480","1,742","1,452",787,665,850,541,230,38.8,"2,731","8,806","1,622",685,937,23.7,14.1
Oklahoma ,"3,751","1,857","1,894",264,259,254,264,269,381,507,461,526,440,236,205,280,164,62,36.2,930,"2,822",507,221,286,24.8,13.5
Oregon ,"3,831","1,896","1,935",238,237,243,255,253,359,524,500,539,510,273,236,290,166,78,38.4,866,"2,965",534,238,296,22.6,13.9
Pennsylvania ,"12,702","6,190","6,512",730,754,791,905,874,"1,261","1,511","1,616","1,940","1,622",879,743,980,674,306,40.1,"2,792","9,910","1,959",821,"1,138",22.0,15.4
Rhode Island ,"1,053",508,544,57,60,64,80,82,120,127,137,162,131,71,60,74,51,27,39.4,224,829,152,62,89,21.3,14.4
South Carolina ,"4,625","2,250","2,375",302,296,297,329,332,476,592,601,659,584,303,281,369,192,71,37.9,"1,080","3,545",632,273,358,23.4,13.7
South Dakota ,814,407,407,60,56,54,58,58,82,105,93,117,98,54,44,58,40,19,36.9,203,611,117,51,66,24.9,14.3
Tennessee ,"6,346","3,094","3,253",408,412,419,437,426,606,824,854,926,786,415,371,487,266,100,38.0,"1,496","4,850",853,366,487,23.6,13.4
Texas ,"25,146","12,472","12,673","1,928","1,928","1,882","1,883","1,817","2,573","3,613","3,458","3,435","2,598","1,423","1,175","1,472",824,305,33.6,"6,866","18,280","2,602","1,136","1,466",27.3,10.3
Utah ,"2,764","1,388","1,376",264,250,228,221,227,318,446,332,307,240,133,107,138,80,31,29.2,871,"1,893",249,113,136,31.5,9.0
Vermont ,626,308,318,32,35,38,46,44,65,70,78,103,90,49,41,50,29,13,41.5,129,497,91,40,51,20.7,14.6
Virginia ,"8,001","3,926","4,075",510,512,511,551,572,802,"1,090","1,109","1,214",955,513,442,550,305,122,37.5,"1,854","6,147",977,421,556,23.2,12.2
Washington ,"6,725","3,350","3,375",440,430,438,462,462,650,934,908,988,835,453,382,457,253,117,37.3,"1,581","5,143",828,370,458,23.5,12.3
West Virginia ,"1,853",914,939,104,106,109,120,117,169,221,237,276,265,139,125,164,98,36,41.3,387,"1,466",297,130,168,20.9,16.0
Wisconsin ,"5,687","2,822","2,865",358,369,376,399,387,549,722,726,874,700,386,314,400,258,119,38.5,"1,339","4,347",777,337,440,23.6,13.7
Wyoming ,564,287,276,40,37,36,38,40,56,78,67,84,74,41,33,40,22,9,36.8,135,428,70,33,37,24.0,12.4
"Source: U.S. Census Bureau, ""Demographic Profiles: Census 2010.""",,,,,,,,,,,,,,,,,,,,,,,,,,
For more information:,,,,,,,,,,,,,,,,,,,,,,,,,,
http://2010.census.gov/news/press-kits/demographic-profiles.html,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet release date: 09/30/2011,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
