"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXREV","TOT","PC_GDP","A","2010",25.311,
"AUT","TAXREV","TOT","PC_GDP","A","2010",40.958,
"BEL","TAXREV","TOT","PC_GDP","A","2010",42.621,
"CAN","TAXREV","TOT","PC_GDP","A","2010",31.08,
"CZE","TAXREV","TOT","PC_GDP","A","2010",32.476,
"DNK","TAXREV","TOT","PC_GDP","A","2010",44.756,
"FIN","TAXREV","TOT","PC_GDP","A","2010",40.788,
"FRA","TAXREV","TOT","PC_GDP","A","2010",42.145,
"DEU","TAXREV","TOT","PC_GDP","A","2010",35.007,
"GRC","TAXREV","TOT","PC_GDP","A","2010",32.023,
"HUN","TAXREV","TOT","PC_GDP","A","2010",37.266,
"ISL","TAXREV","TOT","PC_GDP","A","2010",33.205,
"IRL","TAXREV","TOT","PC_GDP","A","2010",27.01,
"ITA","TAXREV","TOT","PC_GDP","A","2010",41.859,
"JPN","TAXREV","TOT","PC_GDP","A","2010",26.535,
"KOR","TAXREV","TOT","PC_GDP","A","2010",23.391,
"LUX","TAXREV","TOT","PC_GDP","A","2010",37.397,
"MEX","TAXREV","TOT","PC_GDP","A","2010",12.84,
"NLD","TAXREV","TOT","PC_GDP","A","2010",35.656,
"NZL","TAXREV","TOT","PC_GDP","A","2010",30.273,
"NOR","TAXREV","TOT","PC_GDP","A","2010",41.896,
"POL","TAXREV","TOT","PC_GDP","A","2010",31.415,
"PRT","TAXREV","TOT","PC_GDP","A","2010",30.405,
"SVK","TAXREV","TOT","PC_GDP","A","2010",28.075,
"ESP","TAXREV","TOT","PC_GDP","A","2010",31.211,
"SWE","TAXREV","TOT","PC_GDP","A","2010",43.219,
"CHE","TAXREV","TOT","PC_GDP","A","2010",26.595,
"TUR","TAXREV","TOT","PC_GDP","A","2010",24.816,
"GBR","TAXREV","TOT","PC_GDP","A","2010",32.311,
"USA","TAXREV","TOT","PC_GDP","A","2010",23.494,
"CHL","TAXREV","TOT","PC_GDP","A","2010",19.591,
"EST","TAXREV","TOT","PC_GDP","A","2010",33.252,
"ISR","TAXREV","TOT","PC_GDP","A","2010",30.745,
"SVN","TAXREV","TOT","PC_GDP","A","2010",36.898,
"OAVG","TAXREV","TOT","PC_GDP","A","2010",32.306,
"LVA","TAXREV","TOT","PC_GDP","A","2010",28.221,
"LTU","TAXREV","TOT","PC_GDP","A","2010",28.291,
