LOCATION,law
AUS,1
AUT,0
BEL,0
CZE,0
DNK,0
FIN,0
FRA,0
DEU,0
GRC,0
HUN,0
ISL,0
IRL,1
ITA,0
JPN,0
KOR,0
LUX,0
MEX,0
NLD,0
NZL,1
NOR,0
POL,0
PRT,0
SVK,0
ESP,0
SWE,0
CHE,0
TUR,0
GBR,1
USA,1
CHL,0
COL,0
EST,0
IND,1
ISR,1
RUS,0
SVN,0
CAN,1
